id,maNguoiDung,ip,time,location,device,label
79,ND006,113.160.12.34,2026-05-15 08:06:45,"16.054390,108.202120",android 14,1
80,ND006,113.160.12.34,2026-05-15 19:12:58,"16.054450,108.202260",android 14,1
81,ND006,113.160.12.34,2026-05-16 08:09:26,"16.054420,108.202190",ios 17.5,1
82,ND006,113.160.12.34,2026-05-16 19:21:13,"16.054460,108.202270",ios 17.5,1
83,ND006,113.160.12.34,2026-05-17 08:04:38,"16.054400,108.202150",android 14,1
84,ND006,113.160.12.34,2026-05-17 19:09:54,"16.054480,108.202310",android 14,1
85,ND006,113.160.12.34,2026-05-18 08:12:01,"16.054410,108.202180",ios 17.5,1
86,ND006,113.160.12.34,2026-05-18 19:17:46,"16.054470,108.202290",ios 17.5,1
87,ND006,113.160.12.34,2026-05-19 08:07:22,"16.054390,108.202120",android 14,1
88,ND006,113.160.12.34,2026-05-19 19:24:11,"16.054450,108.202260",android 14,1
89,ND006,113.160.12.34,2026-05-20 08:03:57,"16.054420,108.202190",ios 17.5,1
90,ND006,113.160.12.34,2026-05-20 19:14:33,"16.054460,108.202270",ios 17.5,1
91,ND006,14.191.7.88,2026-05-21 02:05:48,"16.046880,108.214220",ios 17.5,0
92,ND006,203.113.9.44,2026-05-21 02:14:59,"21.027764,105.834160",windows 11,0
93,ND006,8.8.8.8,2026-05-21 03:05:11,"37.422000,-122.084057",linux,0
94,ND006,45.76.24.198,2026-05-22 01:22:40,"1.352083,103.819839",ios 17.5,0
95,ND006,104.248.149.88,2026-05-22 02:38:12,"13.756331,100.501762",android 10,0
96,ND006,51.158.168.12,2026-05-23 04:11:29,"48.856613,2.352222",windows 10,0
97,ND006,35.190.247.1,2026-05-23 03:44:18,"35.689487,139.691711",linux,0
98,ND006,162.243.128.28,2026-05-24 01:57:03,"40.712776,-74.005974",ios 16.7,0
99,ND006,119.28.49.23,2026-05-25 03:10:07,"22.396428,114.109497",android 12,0
100,ND006,5.255.255.55,2026-05-25 01:03:45,"55.755825,37.617298",linux,0
